year,month,author,additions,deletions
2016,1,Mike Bostock,32,32
2016,1,Mike Bostock,13,13
2016,1,Mike Bostock,52,48
2016,1,Mike Bostock,6,6
2016,1,Mike Bostock,29,12
2016,1,Mike Bostock,4,4
2016,1,Mike Bostock,0,5
2016,1,Mike Bostock,40,35
2016,1,Mike Bostock,32,32
2016,1,Mike Bostock,104,78
2016,1,Mike Bostock,32,32
2016,1,Mike Bostock,90,92
2016,1,Mike Bostock,68,64
2016,1,Mike Bostock,1,1
2016,1,Mike Bostock,1,1
2016,1,Mike Bostock,1,1
2016,1,Mike Bostock,42,8
2016,1,Mike Bostock,1,1
2016,1,Mike Bostock,2,2
2016,1,Mike Bostock,9,9
2016,1,Mike Bostock,15,15
2016,1,Mike Bostock,5,5
2016,1,Mike Bostock,12,10
2016,1,Mike Bostock,1,1
2016,1,Mike Bostock,23,1
2016,1,Mike Bostock,4,1
2016,1,Mike Bostock,166,0
2016,1,Mike Bostock,1,0
2016,1,Mike Bostock,17,17
2016,1,Mike Bostock,128,0
2016,1,Mike Bostock,11,0
2016,1,Mike Bostock,14,14
2016,1,Mike Bostock,31,61
2016,1,Mike Bostock,2,1
2016,1,Mike Bostock,75,0
2016,1,Mike Bostock,14,14
2016,1,Mike Bostock,37,14
2016,1,Mike Bostock,53,0
2016,1,Mike Bostock,3,5
2016,1,Mike Bostock,1,1
2016,1,Mike Bostock,35,0
2016,1,Mike Bostock,21,7
